ISO_3166-2	osm:relationID	даведнік:назва вобласці	даведнік:назва раёну	osm:name	osm:name:ru	уваходзяць гарады
	59065					
BY-BR	59189	Брэсцкая			Брестская	
	71116	Брэсцкая	Баранавіцкі		Барановичский	r3629362
	59188	Брэсцкая	Брэсцкі		Брестский	r72615
	71107	Брэсцкая	Бярозаўскі		Берёзовский	
	71121	Брэсцкая	Ганцавіцкі		Ганцевичский	
	71105	Брэсцкая	Драгічынскі		Дрогичинский	
	71099	Брэсцкая	Жабінкаўскі		Жабинковский	
	71118	Брэсцкая	Іванаўскі		Ивановский	
	71112	Брэсцкая	Івацэвіцкі		Ивацевичский	
	71097	Брэсцкая	Камянецкі		Каменецкий	
	71101	Брэсцкая	Кобрынскі		Кобринский	
	71124	Брэсцкая	Лунінецкі		Лунинецкий	
	71117	Брэсцкая	Ляхавіцкі		Ляховичский	
	71100	Брэсцкая	Маларыцкі		Малоритский	
	71119	Брэсцкая	Пінскі		Пинский	r1749248
	71094	Брэсцкая	Пружанскі		Пружанский	
	71125	Брэсцкая	Столінскі		Столинский	
BY-VI	59506	Віцебская			Витебская	
	70660	Віцебская	Аршанскі		Оршанский	
	70668	Віцебская	Бешанковіцкі		Бешенковичский	
	70691	Віцебская	Браслаўскі		Браславский	
	70684	Віцебская	Верхнядзвінскі		Верхнедвинский	
	59504	Віцебская	Віцебскі		Витебский	r68614
	70676	Віцебская	Гарадоцкі		Городокский	
	70703	Віцебская	Глыбоцкі		Глубокский	
	70716	Віцебская	Докшыцкі		Докшицкий	
	70656	Віцебская	Дубровенскі		Дубровенский	
	70665	Віцебская	Лёзненскі		Лиозненский	
	70679	Віцебская	Лепельскі		Лепельский	
	70690	Віцебская	Мёрскі	Міёрскі	Миорский	
	70707	Віцебская	Пастаўскі		Поставский	
	70671	Віцебская	Полацкі		Полоцкий	r1749242
	70680	Віцебская	Расонскі		Россонский	
	70662	Віцебская	Сенненскі		Сенненский	
	70649	Віцебская	Талачынскі		Толочинский	
	70669	Віцебская	Ушацкі		Ушачский	
	70746	Віцебская	Чашніцкі		Чашникский	
	70701	Віцебская	Шаркаўшчынскі		Шарковщинский	
	70677	Віцебская	Шумілінскі		Шумилинский	
BY-HO	59161	Гомельская			Гомельская	
	59755	Гомельская	Акцябрскі		Октябрьский	
	70801	Гомельская	Брагінскі		Брагинский	
	59175	Гомельская	Буда-Кашалёўскі		Буда-Кошелёвский	
	70795	Гомельская	Веткаўскі		Ветковский	
	1469691	Гомельская	Гомельскі		Гомельский	r163244
	59092	Гомельская	Добрушскі		Добрушский	
	70810	Гомельская	Ельскі		Ельский	
	59167	Гомельская	Жлобінскі		Жлобинский	
	71149	Гомельская	Жыткавіцкі		Житковичский	
	70814	Гомельская	Калінкавіцкі		Калинковичский	
	59149	Гомельская	Кармянскі		Кормянский	
	71147	Гомельская	Лельчыцкі		Лельчицкий	
	70799	Гомельская	Лоеўскі		Лоевский	
	70815	Гомельская	Мазырскі		Мозырский	
	70809	Гомельская	Нараўлянскі		Наровлянский	
	71145	Гомельская	Петрыкаўскі		Петриковский	
	59174	Гомельская	Рагачоўскі		Рогачёвский	
	70812	Гомельская	Рэчыцкі		Речицкий	
	59137	Гомельская	Светлагорскі		Светлогорский	
	70802	Гомельская	Хойніцкі		Хойникский	
	59178	Гомельская	Чачэрскі		Чечерский	
BY-HR	59275	Гродзенская			Гродненская	
	70721	Гродзенская	Астравецкі		Островецкий	
	70728	Гродзенская	Ашмянскі		Ошмянский	
	70790	Гродзенская	Бераставіцкі		Берестовицкий	
	70771	Гродзенская	Ваўкавыскі		Волковысский	
	70737	Гродзенская	Воранаўскі		Вороновский	
	59273	Гродзенская	Гродзенскі		Гродненский	r130921
	70768	Гродзенская	Дзятлаўскі		Дятловский	
	70772	Гродзенская	Зэльвенскі		Зельвенский	
	70732	Гродзенская	Іўеўскі		Ивьевский	
	70751	Гродзенская	Карэліцкі		Кореличский	
	70747	Гродзенская	Лідскі		Лидский	
	70754	Гродзенская	Мастоўскі		Мостовский	
	70749	Гродзенская	Навагрудскі		Новогрудский	
	71093	Гродзенская	Свіслацкі		Свислочский	
	71114	Гродзенская	Слонімскі		Слонимский	
	70725	Гродзенская	Смаргонскі		Сморгонский	
	70748	Гродзенская	Шчучынскі		Щучинский	
BY-MA	59162	Магілёўская			Могилёвская	
	59753	Магілёўская	Асіповіцкі		Осиповичский	
	59148	Магілёўская	Бабруйскі		Бобруйский	r167857
	70586	Магілёўская	Быхаўскі		Быховский	
	70637	Магілёўская	Бялыніцкі		Белыничский	
	71138	Магілёўская	Глускі		Глусский	
	70620	Магілёўская	Горацкі		Горецкий	
	70618	Магілёўская	Дрыбінскі		Дрибинский	
	70604	Магілёўская	Касцюковіцкі		Костюковичский	
	70580	Магілёўская	Кіраўскі		Кировский	
	70610	Магілёўская	Клімавіцкі		Климовичский	
	70577	Магілёўская	Клічаўскі		Кличевский	
	70602	Магілёўская	Краснапольскі		Краснопольский	
	70638	Магілёўская	Круглянскі		Круглянский	
	70614	Магілёўская	Крычаўскі		Кричевский	
	62147	Магілёўская	Магілёўскі		Могилёвский	r62145
	70616	Магілёўская	Мсціслаўскі		Мстиславский	
	70589	Магілёўская	Слаўгарадскі		Славгородский	
	70605	Магілёўская	Хоцімскі		Хотимский	
	70591	Магілёўская	Чавускі		Чаусский	
	70595	Магілёўская	Чэрыкаўскі		Чериковский	
	70626	Магілёўская	Шклоўскі		Шкловский	
BY-MI	59752	Мінская			Минская	r59195
	70569	Мінская	Барысаўскі		Борисовский	
	70575	Мінская	Бярэзінскі		Березинский	
	70565	Мінская	Валожынскі		Воложинский	
	70568	Мінская	Вілейскі		Вилейский	
	70563	Мінская	Дзяржынскі		Дзержинский	
	71132	Мінская	Капыльскі		Копыльский	
	71130	Мінская	Клецкі		Клецкий	
	70639	Мінская	Крупскі		Крупский	
	70542	Мінская	Лагойскі		Логойский	
	71140	Мінская	Любанскі		Любанский	
	70566	Мінская	Маладзечанскі		Молодечненский	
	59190	Мінская	Мінскі		Минский	
	70719	Мінская	Мядзельскі		Мядельский	
	71128	Мінская	Нясвіжскі		Несвижский	
	70549	Мінская	Пухавіцкі		Пуховичский	
	71133	Мінская	Салігорскі		Солигорский	
	71134	Мінская	Слуцкі		Слуцкий	
	69554	Мінская	Смалявіцкі		Смолевичский	r79911
	71135	Мінская	Старадарожскі		Стародорожский	
	70752	Мінская	Стаўбцоўскі		Столбцовский	
	70561	Мінская	Уздзенскі		Узденский	
	59751	Мінская	Чэрвеньскі		Червенский	
