5-й Коммунальный	5-й Коммунальный
Адамково	Адамково
Ангарская	Ангарская
Аркадия	Аркадия
Аэродром	Аэродром
Берёзовка	Берёзовка
Бернады	Бернады
Билево	Билево
Билево-1	Билево-1
Билево-2	Билево-2
Билево-3	Билево-3
Бителёво	Бителёво
Бобры	Бобры
Бороники	Бороники
Брилевичи	Брилевичи
Васьковичи	Васьковичи
Васюты	Васюты
Великий лес	Великий лес
Верхний город	Верхний город
Веснянка	Веснянка
Военный городок	Военный городок
Волынка	Волынка
Восток	Восток
Восток-1	Восток-1
Восток-2	Восток-2
Восток-3	Восток-3
Восток-4	Восток-4
Восток-5	Восток-5
Восток-6	Восток-6
Вулька-Подгородская	Вулька-Подгородская
Вычулки	Вычулки
Граевка	Граевка
Громы	Громы
Грушевка	Грушевка
Гуторовщина	Гуторовщина
Давыдовка	Давыдовка
Домбровка	Домбровка
Дражня	Дражня
ДСК	ДСК
Дубровка	Дубровка
Елаги	Елаги
Журжево	Журжево
Заводская	Заводская
Загорье	Загорье
Задвинье	Задвинье
Заднепровье	Заднепровье
Запад	Запад
Заполотье	Заполотье
Зелёная	Зелёная
Зелёный Городок	Зелёный Городок
Зеленый луг	Зеленый луг
Ипуть	Ипуть
Казимировка	Казимировка
Каменная горка	Каменная горка
Катин Бор	Катин Бор
Киевка	Киевка
Клины	Клины
Ковалёво	Ковалёво
Козловичи	Козловичи
Козьи горы	Козьи горы
Колос	Колос
Коровники	Коровники
Красный Бор	Красный Бор
Красный Двор	Красный Двор
Куландино	Куландино
Кунцевщина	Кунцевщина
Лестранхоз	Лестранхоз
Лозовка	Лозовка
Лошица	Лошица
Лучёса	Лучёса
Лысая Гора	Лысая Гора
Мазурино	Мазурино
Майская	Майская
Малиновка	Малиновка
Мариненко	Мариненко
Марковщина	Марковщина
Медвежино	Медвежино
Медцентр	Медцентр
Мир	Мир
Михайловка	Михайловка
Михалово	Михалово
Мицары	Мицары
Мишково	Мишково
Мощёнка	Мощёнка
Национальный аэропорт Минск	Национальный аэропорт Минск
Никрополье	Никрополье
Новая Жизнь	Новая Жизнь
Новая Мильча	Новая Мильча
Новинки	Новинки
Новка	Новка
Новые Задворцы	Новые Задворцы
Орехово	Орехово
Павловичи	Павловичи
Первомайский	Первомайский
Песковатик	Песковатик
Петровщина	Петровщина
Плоска	Плоска
Плянты	Плянты
Посёлок	Посёлок
поселок Колос	поселок Колос
промышленный узел "Колядичи"	промышленный узел "Колядичи"
Простоквашино	Простоквашино
Птушкофабрика	Птушкофабрика
Пугачёво	Пугачёво
Пятый полк	Пятый полк
Раковское предместье	Раковское предместье
Речица	Речица
Ржавец	Ржавец
Романовичи	Романовичи
Садовка	Садовка
Себяхи	Себяхи
Северный посёлок	Северный посёлок
Селивовщина	Селивовщина
Серебрянка	Серебрянка
Сокол	Сокол
Соколовка	Соколовка
Солнечный	Солнечный
Сосны	Сосны
Спасская Слобода	Спасская Слобода
Старые Задворцы	Старые Задворцы
Степянка	Степянка
Сухарево	Сухарево
Тарный	Тарный
Тирасполь	Тирасполь
Тришин	Тришин
Троицкое предместье	Троицкое предместье
Тулово-1	Тулово-1
Тулово-2	Тулово-2
Улановичи	Улановичи
Уручье	Уручье
Фруктовый	Фруктовый
Фрунзе	Фрунзе
Центр	Центр
Чапаево	Чапаево
Чепино	Чепино
Чижовка	Чижовка
Шабаны	Шабаны
Шпили	Шпили
Юбилейный	Юбилейный
Юг-1	Юг-1
Юг-2	Юг-2
Юг-3	Юг-3
Юг-4	Юг-4
Юг-5	Юг-5
Юг-6	Юг-6
Юг-7	Юг-7
Юг-7А	Юг-7А
Юго-Запад	Юго-Запад
Южный	Южный
Янополь	Янополь
